Sat Feb 23 14:02:50 +0000 2019,DineshDineshhhh,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:50 +0000 2019,bobsandeep,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:51 +0000 2019,Haribab31977973,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:55 +0000 2019,ramnv0001,"b'RT @JanaSenaParty: JanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp    , . ht'"
Sat Feb 23 14:02:56 +0000 2019,Nagsantosh3,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:02:57 +0000 2019,saivarunn,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:00 +0000 2019,somu_k2,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:00 +0000 2019,Anil_Sardar1971,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:01 +0000 2019,imBDamam99,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:01 +0000 2019,JanasenaNLG,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:03 +0000 2019,iamAnilKumr,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:06 +0000 2019,RatnasaiAlladi,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:08 +0000 2019,SrinuIndian1,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:08 +0000 2019,PKFOLLOWER15,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:15 +0000 2019,ramnv0001,b'Jai Janasena'
Sat Feb 23 14:03:20 +0000 2019,sriram24karat,"b'RT @JanaSenaParty: JanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp    , . ht'"
Sat Feb 23 14:03:29 +0000 2019,rajeshkaipa,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:29 +0000 2019,KhadarM10,b'Jai Janasena #32DaysToMrBoxOfficeBday https://t.co/KFIjdhol5E'
Sat Feb 23 14:03:30 +0000 2019,durgasaran96,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:37 +0000 2019,Vinod90110734,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:38 +0000 2019,Muni68434154,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:41 +0000 2019,VjChintu1,b'RT @JanaSenaParty:       - JanaSena Chief @PawanKalyan https://t.co/9kllwDKHAR'
Sat Feb 23 14:03:43 +0000 2019,Eswar5919,"b'RT @JanaSenaParty: ""  ""\n\nJanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp  '"
Sat Feb 23 14:03:43 +0000 2019,Eswar5919,"b'RT @JanaSenaParty: ""  ""\n\nJanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp  '"
Sat Feb 23 14:03:50 +0000 2019,aravindjanasena,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:54 +0000 2019,BalakrishnaTai2,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:03:55 +0000 2019,PAVANKA92245193,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:04:19 +0000 2019,Vinod90110734,"b'RT @JanaSenaParty: ""  ""\n\nJanaSena Chief @PawanKalyan Kurnool road show \n\nFebruary 24th, 2 PM. \n\nC Camp  '"
Sat Feb 23 14:04:19 +0000 2019,PawanismKanna,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:04:22 +0000 2019,Uday622,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
Sat Feb 23 14:04:22 +0000 2019,ManiaPawan,b'RT @JanaSenaParty: Special Video - JanaSena Chief @PawanKalyan Quotes Great Personalities...\n\nhttps://t.co/MVJ9yqkOsL'
